date,CALIFORNIA,ILLINOIS,MISSOURI,WASHINGTON
8/4/2020,4526,1471,1193,664
8/5/2020,5295,1759,1241,705
8/6/2020,5258,1953,1062,833
8/7/2020,8436,2103,996,670
8/8/2020,7371,2190,0,936
8/9/2020,8373,1382,1548,549
8/10/2020,7751,1319,1027,575
8/11/2020,12500,1549,981,504
8/12/2020,11645,1645,1595,551
8/13/2020,7085,1834,1267,637
8/14/2020,7934,2296,1473,800
8/15/2020,12614,1828,1127,746
8/16/2020,7873,1562,1078,576
8/17/2020,6469,1773,1148,260
8/18/2020,4636,1740,794,543
8/19/2020,6164,2295,1258,425
8/20/2020,5920,1832,1058,700
8/21/2020,5585,2293,1231,390
8/22/2020,6556,2356,1293,816
8/23/2020,6777,1893,818,417
8/24/2020,4946,1612,869,359
8/25/2020,4480,1680,692,334
8/26/2020,6004,2157,1426,456
8/27/2020,4430,1707,1512,542
8/28/2020,5329,2434,1418,598
8/29/2020,4981,1880,1198,578
8/30/2020,6070,1992,1465,441
8/31/2020,4176,1668,1042,315
9/1/2020,3712,1492,1058,304
9/2/2020,4255,2128,1458,438
9/3/2020,5125,1360,1397,479
9/4/2020,5106,5594,1605,479
9/5/2020,4956,2806,1987,501
9/6/2020,4905,1403,1232,399
9/7/2020,3091,1381,906,310
9/8/2020,2676,1392,773,0
9/9/2020,1616,1337,1362,464
9/10/2020,3338,1953,1116,458
9/11/2020,3326,2312,1569,544
9/12/2020,4107,2121,1974,465
9/13/2020,4625,1462,1613,350
9/14/2020,2855,1373,1332,312
9/15/2020,2235,1466,1317,327
9/16/2020,2950,1941,1191,347
9/17/2020,3238,2056,1747,386
9/18/2020,3630,2223,1795,404
9/19/2020,4304,2529,1387,597
9/20/2020,4265,1402,1328,349
9/21/2020,3294,1477,1463,300
9/22/2020,2630,1531,1059,345
9/23/2020,3146,1848,1580,509
9/24/2020,3170,2257,1365,536
9/25/2020,3400,2805,1978,988
9/26/2020,4197,2441,1725,604
9/27/2020,4071,1604,1392,439
9/28/2020,2955,1709,0,369
9/29/2020,2162,1362,1486,404
9/30/2020,3200,2273,1351,480
10/1/2020,3062,2166,1799,594
10/2/2020,3590,2456,1485,694
10/3/2020,2159,2442,1708,609
10/4/2020,4293,1453,1326,455
10/5/2020,3055,1853,987,402
10/6/2020,1677,1617,1165,387
10/7/2020,2764,2630,1068,545
10/8/2020,3575,3059,1505,710
10/9/2020,3806,3117,2008,642
10/10/2020,4170,2905,5066,475
10/11/2020,3803,2727,0,827
10/12/2020,3449,2742,0,0
10/13/2020,2378,2851,0,913
10/14/2020,2666,2862,4449,734
10/15/2020,3329,4015,1875,676
10/16/2020,3075,5103,4374,709
10/17/2020,2979,3629,1768,777
10/18/2020,2862,4245,0,530
10/19/2020,3474,3113,1405,460
10/20/2020,3286,3714,1524,489
10/21/2020,3707,4342,1244,724
10/22/2020,2940,4942,1854,651
10/23/2020,6141,5000,1811,820
10/24/2020,5945,6161,4961,919
10/25/2020,5219,4062,1527,649
10/26/2020,2981,4729,0,587
10/27/2020,3188,4000,1695,527
10/28/2020,4515,6110,1915,716
10/29/2020,4191,6363,3061,814
10/30/2020,4014,8489,5493,1016
10/31/2020,5087,7899,2349,928
11/1/2020,4529,6980,0,814
11/2/2020,4094,6222,2651,1039
11/3/2020,4044,6516,2238,657
11/4/2020,5338,7538,2599,1469
11/5/2020,4566,9935,3553,1070
11/6/2020,6518,11790,8490,1691
11/7/2020,5863,12438,0,1770
11/8/2020,7682,10009,4131,1320
11/9/2020,7212,10573,3244,1239
11/10/2020,5367,12623,4256,1441
11/11/2020,7464,12657,4071,0
11/12/2020,6927,12702,4603,3345
11/13/2020,6893,15415,10351,2142
11/14/2020,9875,11028,3729,2233
11/15/2020,10968,10631,0,2309
11/16/2020,9890,11632,3718,1492
11/17/2020,8743,12601,5717,2589
11/18/2020,9811,8922,4587,1303
11/19/2020,11478,14612,4349,1987
11/20/2020,13005,13012,4614,2132
11/21/2020,15442,11891,9091,1717
11/22/2020,14319,10012,0,0
11/23/2020,8337,8322,3370,6277
11/24/2020,15329,9469,3764,3482
11/25/2020,18350,11378,4131,2887
11/26/2020,14640,12022,4471,0
