date,CALIFORNIA,ILLINOIS,MISSOURI,WASHINGTON
6/19/2020,1.17,0.82,1.14,1.13
6/20/2020,1.15,0.86,1.23,1.22
6/21/2020,1.18,0.88,1.47,1.25
6/22/2020,1.22,0.91,1.23,1.14
6/23/2020,1.3,0.93,1.28,1.15
6/24/2020,1.39,0.98,1.26,1.21
6/25/2020,1.36,1.06,1.34,1.2
6/26/2020,1.29,1.07,1.37,1.18
6/27/2020,1.28,1.09,1.26,1.11
6/28/2020,1.22,1.07,1.15,1.04
6/29/2020,1.2,1.11,1.24,1.13
6/30/2020,1.19,1.12,1.22,1.13
7/1/2020,1.22,1.11,1.21,1.14
7/2/2020,1.23,0.91,1.08,1.18
7/3/2020,1.26,1.09,1.07,1.18
7/4/2020,1.22,1.1,1.07,1.12
7/5/2020,1.18,1.08,1.02,1.17
7/6/2020,1.28,1.04,0.99,1.3
7/7/2020,1.22,1,1.08,1.21
7/8/2020,1.2,1.02,1.14,1.13
7/9/2020,1.14,1.21,1.27,1.07
7/10/2020,1.1,1.09,1.26,1.05
7/11/2020,1.1,1.12,1.23,0.93
7/12/2020,1.13,1.15,1.2,1.11
7/13/2020,1.05,1.17,1.16,1.11
7/14/2020,1.05,1.15,1.16,1.11
7/15/2020,1.03,1.15,1.21,1.14
7/16/2020,1.05,1.15,1.15,1.25
7/17/2020,1.08,1.13,1.16,1.23
7/18/2020,1.08,1.11,1.24,1.36
7/19/2020,1.08,1.08,1.32,1.19
7/20/2020,1.04,1.1,1.27,1.07
7/21/2020,1.06,1.11,1.25,1.09
7/22/2020,1.07,1.14,1.27,1.06
7/23/2020,1.12,1.16,1.39,0.96
7/24/2020,1.09,1.15,1.45,0.97
7/25/2020,1.08,1.13,1.41,0.98
7/26/2020,1.05,1.17,1.36,0.97
7/27/2020,1.03,1.14,1.35,0.95
7/28/2020,0.98,1.12,1.35,0.97
7/29/2020,0.91,1.07,1.34,1
7/30/2020,0.9,1.06,1.31,1.01
7/31/2020,0.89,1.09,1.22,0.87
8/1/2020,0.85,1.09,1.11,1
8/2/2020,0.89,1.07,1.01,0.99
8/3/2020,0.89,1.05,0.99,0.96
8/4/2020,0.89,1.08,0.93,0.93
8/5/2020,0.85,1.1,0.86,0.92
8/6/2020,0.79,1.1,0.78,0.94
8/7/2020,0.82,1.09,0.75,1.08
8/8/2020,0.87,1.12,0.68,0.93
8/9/2020,0.89,1.09,0.83,0.92
8/10/2020,0.95,1.07,0.88,0.93
8/11/2020,1.14,1.06,0.88,0.92
8/12/2020,1.26,1.03,0.95,0.9
8/13/2020,1.25,1.01,1,0.88
8/14/2020,1.19,1.02,1.07,0.93
8/15/2020,1.23,0.99,1.22,0.91
8/16/2020,1.17,1,1.13,0.93
8/17/2020,1.1,1.04,1.11,0.88
8/18/2020,0.95,1.05,1.06,0.9
8/19/2020,0.85,1.1,1,0.9
8/20/2020,0.85,1.08,0.97,0.93
8/21/2020,0.83,1.06,0.94,0.85
8/22/2020,0.75,1.09,0.97,0.89
8/23/2020,0.77,1.1,0.94,0.87
8/24/2020,0.78,1.06,0.92,0.92
8/25/2020,0.81,1.04,0.92,0.89
8/26/2020,0.85,1.02,0.95,0.91
8/27/2020,0.85,1,1.03,0.89
8/28/2020,0.87,1.01,1.05,0.97
8/29/2020,0.86,0.97,1.04,0.92
8/30/2020,0.87,0.98,1.11,0.93
8/31/2020,0.88,0.99,1.12,0.94
9/1/2020,0.88,0.98,1.14,0.94
9/2/2020,0.86,0.98,1.12,0.95
9/3/2020,0.9,0.96,1.08,0.94
9/4/2020,0.92,1.2,1.08,0.92
9/5/2020,0.94,1.25,1.15,0.9
9/6/2020,0.92,1.16,1.1,0.91
9/7/2020,0.9,1.09,1.06,0.93
9/8/2020,0.89,1.06,1.01,0.84
9/9/2020,0.83,0.99,0.99,0.87
9/10/2020,0.8,1.02,0.96,0.89
9/11/2020,0.77,0.81,0.96,0.94
9/12/2020,0.78,0.78,0.97,0.94
9/13/2020,0.8,0.82,1.01,0.94
9/14/2020,0.83,0.85,1.06,0.95
9/15/2020,0.85,0.89,1.12,1.08
9/16/2020,0.93,0.96,1.08,1.04
9/17/2020,0.95,0.99,1.13,1
9/18/2020,0.98,0.99,1.13,0.95
9/19/2020,1,1.02,1.04,1
9/20/2020,0.99,1.02,1,1
9/21/2020,1.01,1.02,1,1
9/22/2020,1.02,1.02,0.98,1.01
9/23/2020,1.03,1.01,1.02,1.06
9/24/2020,1.02,1.02,0.98,1.11
9/25/2020,1.01,1.06,1,1.3
9/26/2020,1,1.05,1.03,1.26
9/27/2020,0.99,1.05,1.04,1.22
9/28/2020,0.98,1.06,0.89,1.19
9/29/2020,0.96,1.03,0.93,1.16
9/30/2020,0.97,1.05,0.93,1.11
10/1/2020,0.97,1.04,0.98,1.1
10/2/2020,0.98,1,0.94,0.99
10/3/2020,0.9,1,0.95,0.98
10/4/2020,0.92,0.99,0.95,0.99
10/5/2020,0.94,1,1.07,1
10/6/2020,0.93,1.02,1.03,1
10/7/2020,0.93,1.04,0.99,1.01
10/8/2020,0.96,1.1,0.96,1.05
10/9/2020,0.99,1.13,1.02,1.03
10/10/2020,1.08,1.14,1.37,0.98
10/11/2020,1.06,1.19,1.2,1.08
10/12/2020,1.06,1.21,1.04,0.97
10/13/2020,1.08,1.24,0.9,1.1
10/14/2020,1.06,1.2,1.23,1.15
10/15/2020,1.04,1.2,1.24,1.11
10/16/2020,0.99,1.26,1.41,1.1
10/17/2020,0.94,1.24,1.05,1.15
10/18/2020,0.9,1.25,1,1.05
10/19/2020,0.92,1.21,1.11,1.14
10/20/2020,0.97,1.19,1.21,1.02
10/21/2020,1.03,1.21,0.93,1
10/22/2020,1.02,1.2,0.92,0.99
10/23/2020,1.15,1.15,0.73,1.02
10/24/2020,1.27,1.2,1,1.05
10/25/2020,1.32,1.16,1.16,1.07
10/26/2020,1.23,1.17,1.03,1.08
10/27/2020,1.17,1.14,1.03,1.08
10/28/2020,1.15,1.17,1.07,1.06
10/29/2020,1.16,1.18,1.16,1.08
10/30/2020,1.05,1.24,1.41,1.11
10/31/2020,1,1.24,1.16,1.09
11/1/2020,0.97,1.27,0.99,1.1
11/2/2020,1.01,1.24,1.15,1.17
11/3/2020,1.04,1.25,1.17,1.16
11/4/2020,1.06,1.22,1.18,1.27
11/5/2020,1.06,1.25,1.17,1.26
11/6/2020,1.13,1.26,1.31,1.32
11/7/2020,1.14,1.3,1.12,1.38
11/8/2020,1.21,1.28,1.3,1.37
11/9/2020,1.27,1.29,1.28,1.31
11/10/2020,1.25,1.33,1.32,1.33
11/11/2020,1.25,1.34,1.32,1.07
11/12/2020,1.25,1.29,1.29,1.3
11/13/2020,1.2,1.27,1.29,1.3
11/14/2020,1.25,1.18,1.38,1.28
11/15/2020,1.27,1.14,1.14,1.31
11/16/2020,1.27,1.12,1.1,1.27
11/17/2020,1.28,1.09,1.12,1.3
11/18/2020,1.26,1.02,1.11,1.35
11/19/2020,1.28,1.03,1.08,1.15
11/20/2020,1.33,0.99,0.87,1.1
11/21/2020,1.35,1,1.05,1.03
11/22/2020,1.32,0.99,1.06,0.84
11/23/2020,1.21,0.95,1.03,1.21
11/24/2020,1.25,0.92,0.96,1.27
11/25/2020,1.31,0.96,0.95,1.33
11/26/2020,1.28,0.94,0.96,1.12
